Indicator,State Name,Year,Month,Data Value,Percent Pending Investigation
Natural & semi-synthetic opioids (T40.2),Maryland,2017,May,693,0.022194423
Natural & semi-synthetic opioids (T40.2),Maryland,2017,June,663,0.028190001
Natural & semi-synthetic opioids (T40.2),Maryland,2017,July,642,0.030279785
Natural & semi-synthetic opioids (T40.2),Maryland,2017,August,612,0.038338142
Natural & semi-synthetic opioids (T40.2),Maryland,2017,September,594,0.040330712
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,January,936,0.008585165
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,February,964,0.008553405
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,March,969,0.008543723
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,April,970,0.01065462
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,May,975,0.010616838
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,June,965,0.010570601
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,July,976,0.01055164
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,August,996,0.010535854
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,September,1033,0.014741497
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,October,1071,0.018895654
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,November,1096,0.021015909
"Opioids (T40.0-T40.4,T40.6)",Maryland,2015,December,1130,0.021203511
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,January,1112,0.021452322
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,February,1150,0.021419698
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,March,1201,0.021418321
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,April,1286,0.019190584
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,May,1389,0.023377396
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,June,1491,0.025466893
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,July,1561,0.027475431
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,August,1640,0.027340793
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,September,1694,0.02506894
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,October,1733,0.022895202
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,November,1795,0.018613886
"Opioids (T40.0-T40.4,T40.6)",Maryland,2016,December,1866,0.016437906
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,January,1954,0.01631521
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,February,1967,0.018295658
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,March,2002,0.020204878
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,April,2036,0.022186366
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,May,2038,0.022194423
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,June,2036,0.028190001
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,July,2017,0.030279785
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,August,2008,0.038338142
"Opioids (T40.0-T40.4,T40.6)",Maryland,2017,September,2024,0.040330712
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,January,237,0.008585165
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,February,259,0.008553405
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,March,263,0.008543723
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,April,244,0.01065462
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,May,233,0.010616838
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,June,227,0.010570601
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,July,231,0.01055164
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,August,243,0.010535854
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,September,268,0.014741497
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,October,299,0.018895654
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,November,330,0.021015909
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2015,December,373,0.021203511
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,January,386,0.021452322
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,February,421,0.021419698
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,March,449,0.021418321
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,April,521,0.019190584
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,May,617,0.023377396
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,June,706,0.025466893
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,July,778,0.027475431
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,August,845,0.027340793
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,September,913,0.02506894
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,October,974,0.022895202
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,November,1040,0.018613886
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2016,December,1122,0.016437906
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,January,1224,0.01631521
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,February,1270,0.018295658
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,March,1339,0.020204878
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,April,1393,0.022186366
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,May,1425,0.022194423
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,June,1455,0.028190001
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,July,1475,0.030279785
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,August,1503,0.038338142
"Synthetic opioids, excl. methadone (T40.4)",Maryland,2017,September,1533,0.040330712
Natural & semi-synthetic opioids (T40.2),Maine,2015,January,82,0.058706979
Natural & semi-synthetic opioids (T40.2),Maine,2015,February,88,0.043336945
Natural & semi-synthetic opioids (T40.2),Maine,2015,March,96,0.028774908
Natural & semi-synthetic opioids (T40.2),Maine,2015,April,99,0.021439291
Natural & semi-synthetic opioids (T40.2),Maine,2015,May,95,0.014262283
Natural & semi-synthetic opioids (T40.2),Maine,2015,June,99,0.014269406
Natural & semi-synthetic opioids (T40.2),Maine,2015,July,104,0.014232849
Natural & semi-synthetic opioids (T40.2),Maine,2015,August,95,0.014105367
Natural & semi-synthetic opioids (T40.2),Maine,2015,September,105,0.006994964
Natural & semi-synthetic opioids (T40.2),Maine,2015,October,105,0.006959911
Natural & semi-synthetic opioids (T40.2),Maine,2015,November,105,0
Natural & semi-synthetic opioids (T40.2),Maine,2015,December,105,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,January,108,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,February,104,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,March,103,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,April,111,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,May,116,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,June,120,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,July,123,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,August,128,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,September,124,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,October,126,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,November,124,0
Natural & semi-synthetic opioids (T40.2),Maine,2016,December,132,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,January,129,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,February,128,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,March,123,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,April,115,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,May,108,0
Natural & semi-synthetic opioids (T40.2),Maine,2017,June,96,0.006962334
Natural & semi-synthetic opioids (T40.2),Maine,2017,July,93,0.006980316
Natural & semi-synthetic opioids (T40.2),Maine,2017,August,90,0.006948305
Natural & semi-synthetic opioids (T40.2),Maine,2017,September,89,0.006906077
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,January,171,0.058706979
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,February,181,0.043336945
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,March,196,0.028774908
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,April,211,0.021439291
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,May,208,0.014262283
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,June,209,0.014269406
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,July,223,0.014232849
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,August,219,0.014105367
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,September,232,0.006994964
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,October,237,0.006959911
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,November,241,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2015,December,235,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,January,235,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,February,232,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,March,237,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,April,246,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,May,257,0
"Opioids (T40.0-T40.4,T40.6)",Maine,2016,June,273,0
